DATE (MM/DD/YYYY),HOUR-MST,Avg Avg Wind Speed @ 80m [m/s]
1/1/2011,1,15.4880
1/1/2011,2,16.7177
1/1/2011,3,15.6583
1/1/2011,4,13.8415
1/1/2011,5,6.4602
1/1/2011,6,5.8208
1/1/2011,7,9.4820
1/1/2011,8,14.9837
1/1/2011,9,17.4722
1/1/2011,10,16.7569
1/1/2011,11,7.8829
1/1/2011,12,10.1552
1/1/2011,13,10.0828
1/1/2011,14,10.8880
1/1/2011,15,11.1386
1/1/2011,16,11.9771
1/1/2011,17,14.3904
1/1/2011,18,13.9621
1/1/2011,19,12.9533
1/1/2011,20,11.8242
1/1/2011,21,12.0343
1/1/2011,22,9.7205
1/1/2011,23,7.0413
1/2/2011,0,16.3361
1/2/2011,1,20.3593
1/2/2011,2,17.5124
1/2/2011,3,15.8608
1/2/2011,4,13.2551
1/2/2011,5,13.8319
1/2/2011,6,6.5390
1/2/2011,7,8.0044
1/2/2011,8,12.5352
1/2/2011,9,14.0585
1/2/2011,10,18.4853
1/2/2011,11,17.4313
1/2/2011,12,10.8662
1/2/2011,13,7.7958
1/2/2011,14,8.0965
1/2/2011,15,7.7186
1/2/2011,16,10.4798
1/2/2011,17,10.8048
1/2/2011,18,11.3946
1/2/2011,19,6.8949
1/2/2011,20,7.2695
1/2/2011,21,4.1899
1/2/2011,22,3.0671
1/2/2011,23,1.6461
1/3/2011,0,1.8302
1/3/2011,1,2.1808
1/3/2011,2,1.2759
1/3/2011,3,2.1245
1/3/2011,4,5.6138
1/3/2011,5,8.5601
1/3/2011,6,12.4486
1/3/2011,7,7.7379
1/3/2011,8,4.2790
1/3/2011,9,4.7256
1/3/2011,10,4.1269
1/3/2011,11,2.2740
1/3/2011,12,3.0160
1/3/2011,13,3.5807
1/3/2011,14,4.5002
1/3/2011,15,4.2832
1/3/2011,16,5.7465
1/3/2011,17,7.1014
1/3/2011,18,6.0101
1/3/2011,19,4.4912
1/3/2011,20,3.6091
1/3/2011,21,5.2293
1/3/2011,22,2.0576
1/3/2011,23,2.8678
1/4/2011,0,3.8577
1/4/2011,1,3.5430
1/4/2011,2,3.3002
1/4/2011,3,2.3435
1/4/2011,4,1.1356
1/4/2011,5,0.9583
1/4/2011,6,1.7998
1/4/2011,7,2.5431
1/4/2011,8,0.9597
1/4/2011,9,1.8045
1/4/2011,10,5.3847
1/4/2011,11,4.3176
1/4/2011,12,6.8450
1/4/2011,13,8.1195
1/4/2011,14,8.9121
1/4/2011,15,9.9570
1/4/2011,16,10.4381
1/4/2011,17,12.6251
1/4/2011,18,14.9277
1/4/2011,19,13.5778
1/4/2011,20,13.6416
1/4/2011,21,13.0724
1/4/2011,22,14.2701
1/4/2011,23,15.2585
1/5/2011,0,16.9305
1/5/2011,1,12.4620
1/5/2011,2,15.0063
1/5/2011,3,22.2169
1/5/2011,4,20.7033
1/5/2011,5,21.1996
1/5/2011,6,20.3628
1/5/2011,7,14.0335
1/5/2011,8,15.0807
1/5/2011,9,15.4085
1/5/2011,10,16.1820
1/5/2011,11,12.5388
1/5/2011,12,11.2418
1/5/2011,13,14.0046
1/5/2011,14,11.9440
1/5/2011,15,14.8834
1/5/2011,16,20.2438
1/5/2011,17,16.0602
1/5/2011,18,21.1269
1/5/2011,19,21.7487
1/5/2011,20,17.4352
1/5/2011,21,16.3774
1/5/2011,22,12.5611
1/5/2011,23,12.4638
1/6/2011,0,14.0568
1/6/2011,1,14.8132
1/6/2011,2,13.2357
1/6/2011,3,10.7185
1/6/2011,4,6.6856
1/6/2011,5,9.1977
1/6/2011,6,13.3740
1/6/2011,7,10.6495
1/6/2011,8,18.4352
1/6/2011,9,14.8892
1/6/2011,10,14.4736
1/6/2011,11,14.0867
1/6/2011,12,15.5379
1/6/2011,13,14.7856
1/6/2011,14,15.4332
1/6/2011,15,14.3984
1/6/2011,16,15.1349
1/6/2011,17,12.3845
1/6/2011,18,14.8193
1/6/2011,19,17.0482
1/6/2011,20,14.9128
1/6/2011,21,15.3961
1/6/2011,22,6.3636
1/6/2011,23,4.8242
1/7/2011,0,4.1714
1/7/2011,1,6.1467
1/7/2011,2,6.0561
1/7/2011,3,10.2920
1/7/2011,4,13.9161
1/7/2011,5,14.8916
1/7/2011,6,13.1480
1/7/2011,7,11.8744
1/7/2011,8,9.5091
1/7/2011,9,6.1135
1/7/2011,10,4.2015
1/7/2011,11,4.9572
1/7/2011,12,3.5650
1/7/2011,13,3.2877
1/7/2011,14,2.8462
1/7/2011,15,1.9540
1/7/2011,16,2.6290
1/7/2011,17,1.3121
1/7/2011,18,1.4475
1/7/2011,19,2.8776
1/7/2011,20,4.6787
1/7/2011,21,6.9661
1/7/2011,22,5.3857
1/7/2011,23,1.3808
1/8/2011,0,4.0289
1/8/2011,1,3.3720
1/8/2011,2,2.2443
1/8/2011,3,2.2778
1/8/2011,4,1.8336
1/8/2011,5,1.8496
1/8/2011,6,0.9216
1/8/2011,7,2.6576
1/8/2011,8,3.1996
1/8/2011,9,2.2671
1/8/2011,10,1.4299
1/8/2011,11,3.6748
1/8/2011,12,3.1286
1/8/2011,13,3.0265
1/8/2011,14,4.3323
1/8/2011,15,3.5811
1/8/2011,16,2.6777
1/8/2011,17,1.4336
1/8/2011,18,2.0452
1/8/2011,19,1.4057
1/8/2011,20,3.4596
1/8/2011,21,2.0012
1/8/2011,22,2.9739
1/8/2011,23,1.6267
1/9/2011,0,0.9105
1/9/2011,1,2.8394
1/9/2011,2,3.3269
1/9/2011,3,2.7406
1/9/2011,4,3.4014
1/9/2011,5,4.0213
1/9/2011,6,5.0755
1/9/2011,7,3.5512
1/9/2011,8,2.1573
1/9/2011,9,2.1022
1/9/2011,10,2.3235
1/9/2011,11,2.7277
1/9/2011,12,2.5370
1/9/2011,13,3.7471
1/9/2011,14,2.9058
1/9/2011,15,2.5471
1/9/2011,16,2.7132
1/9/2011,17,3.2850
1/9/2011,18,3.5515
1/9/2011,19,3.9086
1/9/2011,20,5.1344
1/9/2011,21,3.9692
1/9/2011,22,4.0033
1/9/2011,23,3.5323
1/10/2011,0,4.1357
1/10/2011,1,5.5294
1/10/2011,2,5.3686
1/10/2011,3,4.7918
1/10/2011,4,3.0252
1/10/2011,5,0.7350
1/10/2011,6,0.4904
1/10/2011,7,0.7067
1/10/2011,8,1.3605
1/10/2011,9,0.9281
1/10/2011,10,1.6639
1/10/2011,11,0.6643
1/10/2011,12,0.7564
1/10/2011,13,1.7222
1/10/2011,14,1.4001
1/10/2011,15,1.5226
1/10/2011,16,1.8959
1/10/2011,17,1.7627
1/10/2011,18,2.5540
1/10/2011,19,3.9051
1/10/2011,20,5.0723
1/10/2011,21,3.5558
1/10/2011,22,5.9981
1/10/2011,23,5.5628
1/11/2011,0,10.2412
1/11/2011,1,7.2108
1/11/2011,2,10.0396
1/11/2011,3,8.8010
1/11/2011,4,5.2178
1/11/2011,5,2.9958
1/11/2011,6,3.9124
1/11/2011,7,4.3255
1/11/2011,8,7.6919
1/11/2011,9,2.9514
1/11/2011,10,2.4197
1/11/2011,11,3.6023
1/11/2011,12,3.2047
1/11/2011,13,3.2303
1/11/2011,14,3.3988
1/11/2011,15,2.4759
1/11/2011,16,1.6946
1/11/2011,17,0.9268
1/11/2011,18,1.8626
1/11/2011,19,1.2796
1/11/2011,20,0.9333
1/11/2011,21,2.0276
1/11/2011,22,2.1253
1/11/2011,23,2.7238
1/12/2011,0,2.5876
1/12/2011,1,3.0988
1/12/2011,2,3.5842
1/12/2011,3,1.8601
1/12/2011,4,1.8397
1/12/2011,5,0.6534
1/12/2011,6,1.2052
1/12/2011,7,2.2252
1/12/2011,8,2.2779
1/12/2011,9,3.1884
1/12/2011,10,2.5486
1/12/2011,11,2.3556
1/12/2011,12,3.5824
1/12/2011,13,3.0457
1/12/2011,14,1.7085
1/12/2011,15,1.5278
1/12/2011,16,5.2863
1/12/2011,17,4.1076
1/12/2011,18,6.0526
1/12/2011,19,11.7014
1/12/2011,20,4.5996
1/12/2011,21,7.4891
1/12/2011,22,9.2554
1/12/2011,23,12.0937
1/13/2011,0,12.7373
1/13/2011,1,7.4395
1/13/2011,2,9.9367
1/13/2011,3,10.5166
1/13/2011,4,11.9210
1/13/2011,5,11.7757
1/13/2011,6,9.2158
1/13/2011,7,8.0010
1/13/2011,8,14.8262
1/13/2011,9,11.5383
1/13/2011,10,14.9257
1/13/2011,11,13.9650
1/13/2011,12,9.8441
1/13/2011,13,10.1860
1/13/2011,14,8.2517
1/13/2011,15,7.8691
1/13/2011,16,7.0361
1/13/2011,17,8.4486
1/13/2011,18,4.6926
1/13/2011,19,2.2714
1/13/2011,20,2.0242
1/13/2011,21,2.0348
1/13/2011,22,3.7374
1/13/2011,23,3.3716
1/14/2011,0,4.9339
1/14/2011,1,8.3118
1/14/2011,2,7.3875
1/14/2011,3,8.5154
1/14/2011,4,4.1281
1/14/2011,5,3.5068
1/14/2011,6,5.0841
1/14/2011,7,8.9490
1/14/2011,8,9.8162
1/14/2011,9,9.5641
1/14/2011,10,9.9168
1/14/2011,11,8.4620
1/14/2011,12,7.5707
1/14/2011,13,8.6010
1/14/2011,14,7.0932
1/14/2011,15,6.5608
1/14/2011,16,7.5961
1/14/2011,17,9.3506
1/14/2011,18,9.3408
1/14/2011,19,10.2495
1/14/2011,20,8.9708
1/14/2011,21,9.2525
1/14/2011,22,9.3846
1/14/2011,23,10.2384
1/15/2011,0,8.7809
1/15/2011,1,8.3506
1/15/2011,2,4.2698
1/15/2011,3,8.1804
1/15/2011,4,9.7325
1/15/2011,5,9.3891
1/15/2011,6,9.5202
1/15/2011,7,8.9301
1/15/2011,8,8.8858
1/15/2011,9,4.2799
1/15/2011,10,7.0985
1/15/2011,11,4.6314
1/15/2011,12,8.2207
1/15/2011,13,6.1435
1/15/2011,14,6.5520
1/15/2011,15,3.6988
1/15/2011,16,6.9870
1/15/2011,17,4.0510
1/15/2011,18,4.0160
1/15/2011,19,3.0932
1/15/2011,20,4.8535
1/15/2011,21,4.2420
1/15/2011,22,11.3956
1/15/2011,23,11.4565
1/16/2011,0,9.7583
1/16/2011,1,8.2470
1/16/2011,2,5.4020
1/16/2011,3,4.6144
1/16/2011,4,6.1996
1/16/2011,5,5.9197
1/16/2011,6,3.4008
1/16/2011,7,4.2124
1/16/2011,8,9.2180
1/16/2011,9,8.8835
1/16/2011,10,4.2429
1/16/2011,11,6.6257
1/16/2011,12,9.8419
1/16/2011,13,11.8653
1/16/2011,14,10.4549
1/16/2011,15,17.0578
1/16/2011,16,21.0216
1/16/2011,17,19.0715
1/16/2011,18,18.6514
1/16/2011,19,15.0878
1/16/2011,20,9.9325
1/16/2011,21,15.5669
1/16/2011,22,15.8074
1/16/2011,23,18.5392
1/17/2011,0,21.0488
1/17/2011,1,21.4811
1/17/2011,2,18.4019
1/17/2011,3,15.0286
1/17/2011,4,12.9220
1/17/2011,5,12.3827
1/17/2011,6,10.3969
1/17/2011,7,8.7379
1/17/2011,8,7.9935
