"codigoestacion","codigosensor","fechaobservacion","valorobservado","nombreestacion","departamento","municipio","zonahidrografica","latitud","longitud","descripcionsensor","unidadmedida"
"2612500130","0103","2020-06-03T16:30:00.000","0.6","SALENTO - AUT","QUINDÍO","SALENTO","CAUCA","4.633475","-75.568858333","Velocidad Viento (10 min)","m/s"
"0023190130","0103","2020-06-03T15:40:00.000","1.2","TONA  - AUT","SANTANDER","TONA","MEDIO MAGDALENA","7.196111111","-72.97055556","Velocidad Viento (10 min)","m/s"
"0037045010","0103","2020-06-03T15:20:00.000","2","SARAVENA  - AUT","ARAUCA","SARAVENA","ARAUCA","6.946388889","-71.89055556","Velocidad Viento (10 min)","m/s"
"0021205710","0103","2020-06-03T15:40:00.000","0.7","JARDIN BOTANICO  - AUT","BOGOTA","BOGOTA, D.C","ALTO MAGDALENA","4.669333333","-74.10266667","Velocidad Viento (10 min)","m/s"
"0021205527","0103","2020-06-03T11:30:00.000","2.45","ALTO DEL AIRE  - AUT","CUNDINAMARCA","CUCUNUBÁ","ALTO MAGDALENA","5.198","-73.805","Velocidad Viento (10 min)","m/s"
"0026165501","0103","2020-06-03T12:25:00.000","2.258373","EL CIPRES  - AUT","CALDAS","SALAMINA","CAUCA","5.433333333","-75.5","Velocidad Viento (10 min)","m/s"
"2202500051","0103","2020-06-03T15:30:00.000","0.8","PLANADAS - AUT","TOLIMA","PLANADAS","SALDAÑA","3.2058","-75.6542","Velocidad Viento (10 min)","m/s"
"0026065501","0103","2020-06-03T09:15:00.000","0","JAMUNDI  - AUT","VALLE DEL CAUCA","JAMUNDÍ","CAUCA","3.215580556","-76.68021944","Velocidad Viento (10 min)","m/s"
"0027015320","0103","2020-06-03T13:40:00.000","0.7","ARAGON - AUT","ANTIOQUIA","SANTA ROSA DE OSOS","NECHÍ","6.781083333","-75.560888889","Velocidad Viento (10 min)","m/s"
"0024035250","0103","2020-06-03T12:10:00.000","3.3","CHITA  - AUT","BOYACÁ","CHITA","SOGAMOSO","6.188333333","-72.46633333","Velocidad Viento (10 min)","m/s"
"0035025502","0103","2020-06-03T13:10:00.000","4.446","LA ESMERALDA-  - AUT","BOGOTA","BOGOTA, D.C","META","4.56","-74","Velocidad Viento (10 min)","m/s"
"0021165502","0103","2020-06-03T00:40:00.000","0.9126405","VILLARICA  - AUT","TOLIMA","VILLARRICA","ALTO MAGDALENA","3.955641667","-74.59178611","Velocidad Viento (10 min)","m/s"
"0026155505","0103","2020-06-03T08:55:00.000","0.0169837","GRANJA LUKER  - AUT","CALDAS","PALESTINA","CAUCA","5.070275","-75.68555278","Velocidad Viento (10 min)","m/s"
"0011045010","0103","2020-06-03T16:10:00.000","1.7","PR CHOCO: APTO EL CARANO","CHOCO","QUIBDÓ","ATRATO - DARIÉN","5.691","-76.644","Velocidad Viento (10 min)","m/s"
"0015015120","0103","2020-06-03T15:50:00.000","3.4","UNIVERSIDAD TECNOLOGICA  - AUT","MAGDALENA","SANTA MARTA","CARIBE - GUAJIRA","11.22305556","-74.18591667","Velocidad Viento (10 min)","m/s"
"0021205515","0103","2020-06-03T08:50:00.000","1.301","MERENGO  - AUT","CUNDINAMARCA","SOACHA","ALTO MAGDALENA","4.7","-74.174","Velocidad Viento (10 min)","m/s"
"0026125061","0103","2020-06-03T21:30:00.000","0.8","APTO EL EDEN","QUINDÍO","ARMENIA","CAUCA","4.455","-75.766","Velocidad Viento (10 min)","m/s"
"0024025090","0103","2020-06-03T23:10:00.000","0.6","MOGOTES - AUT","SANTANDER","MOGOTES","SOGAMOSO","6.47","-72.96888889","Velocidad Viento (10 min)","m/s"
"0022045502","0103","2020-06-03T05:00:00.000","0.4173751","EL RUBY  - AUT","TOLIMA","PLANADAS","SALDAÑA","3.95","-75.66666667","Velocidad Viento (10 min)","m/s"
"2403500041","0103","2020-06-03T01:10:00.000","1.2","DUITAMA - AUT","BOYACÁ","PAIPA","SOGAMOSO","5.78755","-73.081783333","Velocidad Viento (10 min)","m/s"
"0026115501","0103","2020-06-03T09:10:00.000","0.02628529","MANUEL MARIA MALLARINO  - AUT","VALLE DEL CAUCA","TRUJILLO","CAUCA","4.213611111","-76.31497222","Velocidad Viento (10 min)","m/s"
"0054015010","0103","2020-06-03T23:50:00.000","2.1","PUEBLO RICO  - AUT","RISARALDA","PUEBLO RICO","SAN JUÁN","5.233444444","-76.03163889","Velocidad Viento (10 min)","m/s"
"0035235050","0103","2020-06-03T09:00:00.000","1.3","PERENCO: TAMARA","CASANARE","TÁMARA","META","5.819","-72.167","Velocidad Viento (10 min)","m/s"
"1602500110","0103","2020-06-03T02:40:00.000","0.5","ARBOLEDAS - AUT","NORTE DE SANTANDER","ARBOLEDAS","CATATUMBO","7.645111111","-72.799169444","Velocidad Viento (10 min)","m/s"
"0026255030","0103","2020-06-03T12:30:00.000","3.3","SANTA ISABEL VALDIVIA - AUT","ANTIOQUIA","VALDIVIA","CAUCA","7.157277778","-75.44222222","Velocidad Viento (10 min)","m/s"
"0026115501","0103","2020-06-03T12:00:00.000","1.837881","MANUEL MARIA MALLARINO  - AUT","VALLE DEL CAUCA","TRUJILLO","CAUCA","4.213611111","-76.31497222","Velocidad Viento (10 min)","m/s"
"0026215501","0103","2020-06-03T06:10:00.000","0","CONCORDIA  - AUT","ANTIOQUIA","CONCORDIA","CAUCA","6.042441667","-75.92149722","Velocidad Viento (10 min)","m/s"
"0029065130","0103","2020-06-03T09:40:00.000","0.6","LA GRAN VIA - AUT","MAGDALENA","ZONA BANANERA","BAJO MAGDALENA","10.85","-74.13333333","Velocidad Viento (10 min)","m/s"
"0016055120","0103","2020-06-03T15:20:00.000","2","AGUAS DE LA VIRGEN  - AUT","NORTE DE SANTANDER","OCAÑA","CATATUMBO","8.227694444","-73.3975","Velocidad Viento (10 min)","m/s"
"0021205514","0103","2020-06-03T10:40:00.000","1.414","LAS MARGARITAS  - AUT","CUNDINAMARCA","EL ROSAL","ALTO MAGDALENA","4.469","-74.079","Velocidad Viento (10 min)","m/s"
"2612500124","0103","2020-06-03T18:30:00.000","0.7","PIJAO - AUT","QUINDÍO","PIJAO","CAUCA","4.331361111","-75.684138889","Velocidad Viento (10 min)","m/s"
"0029065501","0103","2020-06-03T13:40:00.000","0","CIENAGA,LA  - AUT","MAGDALENA","CIÉNAGA","BAJO MAGDALENA","10.89785833","-74.08156667","Velocidad Viento (10 min)","m/s"
"0021205660","0103","2020-06-03T21:20:00.000","0.6","MERCEDES - AUT","CUNDINAMARCA","ANAPOIMA","ALTO MAGDALENA","4.581888889","-74.52661111","Velocidad Viento (10 min)","m/s"
"0035085070","0103","2020-06-03T20:30:00.000","2.9","SANTA MARIA - AUT","BOYACÁ","SANTA MARÍA","META","4.84125","-73.25669444","Velocidad Viento (10 min)","m/s"
"2305500055","0103","2020-06-03T04:30:00.000","0.2","SAN JOSE DE PENSILVANIA - AUT","CALDAS","PENSILVANIA","MEDIO MAGDALENA","5.372638889","-75.150138889","Velocidad Viento (10 min)","m/s"
"5205500123","0103","2020-06-03T10:40:00.000","2.1","LAS IGLESIAS  - AUT","NARIÑO","PASTO","PATÍA","1.054805556","-77.27025","Velocidad Viento (10 min)","m/s"
"0026125504","0103","2020-06-03T06:55:00.000","0.008487522","PARAGUAICITO  - AUT","QUINDÍO","BUENAVISTA","CAUCA","4.395555556","-75.73416667","Velocidad Viento (10 min)","m/s"
"0052015501","0103","2020-06-03T00:40:00.000","0.01612477","BALBOA  - AUT","CAUCA","BALBOA","PATÍA","2.125191667","-77.19266667","Velocidad Viento (10 min)","m/s"
"0022025501","0103","2020-06-03T16:40:00.000","0.8105028","ATACO  - AUT","TOLIMA","ATACO","SALDAÑA","3.416666667","-75.63305556","Velocidad Viento (10 min)","m/s"
"2501500120","0103","2020-06-03T16:00:00.000","1.2","JUAN JOSE - AUT","CORDOBA","PUERTO LIBERTADOR","BAJO MAGDALENA- CAUCA -SAN JORGE","7.730194444","-75.851580556","Velocidad Viento (10 min)","m/s"
"2302500064","0103","2020-06-03T01:00:00.000","1.1","MANZANARES - AUT","CALDAS","MANZANARES","MEDIO MAGDALENA","5.265055556","-75.143055556","Velocidad Viento (10 min)","m/s"
"0011030010","0103","2020-06-03T16:10:00.000","0.9","PR CHOCO: CERTEGUI","CHOCÓ","CÉRTEGUI","ATRATO - DARIÉN","5.375","-76.613","Velocidad Viento (10 min)","m/s"
"0046035010","0103","2020-06-03T18:00:00.000","0.6","MAGUARE - AUT","CAQUETA","EL DONCELLO","CAGUÁN","1.640222222","-75.16266667","Velocidad Viento (10 min)","m/s"
"0029015040","0103","2020-06-03T11:50:00.000","1.1","CARMEN DE BOLIVAR  - AUT","BOLIVAR","EL CARMÉN DE BOLÍVAR","BAJO MAGDALENA","9.71575","-75.10641667","Velocidad Viento (10 min)","m/s"
"0023055502","0103","2020-06-03T02:55:00.000","0.05169386","VILLARAZ  - AUT","CALDAS","PENSILVANIA","MEDIO MAGDALENA","5.383333333","-75.06638889","Velocidad Viento (10 min)","m/s"
"0021105030","0103","2020-06-03T02:00:00.000","0.6","ALGECIRAS - AUT","HUILA","ALGECIRAS","ALTO MAGDALENA","2.521694444","-75.32225","Velocidad Viento (10 min)","m/s"
"0011050020","0103","2020-06-03T00:50:00.000","0.9","PR CHOCO: BETE","CHOCÓ","MEDIO ATRATO (BETÉ)","ATRATO - DARIÉN","5.995","-76.78","Velocidad Viento (10 min)","m/s"
"0051035020","0103","2020-06-03T15:40:00.000","2.5","CCCP DL PACIFICO","NARIÑO","TUMACO","MIRA","1.819166667","-78.73","Velocidad Viento (10 min)","m/s"
"2319500125","0103","2020-06-03T17:00:00.000","1","POLIDEPORTIVO CACHIRA - AUT","NORTE DE SANTANDER","CÁCHIRA","MEDIO MAGDALENA","7.649638889","-73.178361111","Velocidad Viento (10 min)","m/s"
"0023190130","0103","2020-06-03T10:50:00.000","1.3","TONA  - AUT","SANTANDER","TONA","MEDIO MAGDALENA","7.196111111","-72.97055556","Velocidad Viento (10 min)","m/s"
"0021205710","0103","2020-06-03T17:00:00.000","0.5","JARDIN BOTANICO  - AUT","BOGOTA","BOGOTA, D.C","ALTO MAGDALENA","4.669333333","-74.10266667","Velocidad Viento (10 min)","m/s"
"0023065506","0103","2020-06-03T22:20:00.000","1.884","BELLAVISTA  - AUT","CUNDINAMARCA","FACATATIVÁ","ALTO MAGDALENA","4.861","-74.405","Velocidad Viento (10 min)","m/s"
"0023025502","0103","2020-06-03T01:05:00.000","1.582403","ALMACAFE LETRAS  - AUT","CALDAS","MANIZALES","MEDIO MAGDALENA","5.044997222","-75.33221944","Velocidad Viento (10 min)","m/s"
"2308500071","0103","2020-06-03T22:50:00.000","0.8","RETIRO - AUT","ANTIOQUIA","RETIRO","MEDIO MAGDALENA","6.060275","-75.509513889","Velocidad Viento (10 min)","m/s"
"3706500109","0103","2020-06-03T20:10:00.000","0.3","ARAUCA TERMINAL - AUT","ARAUCA","ARAUCA","ARAUCA","7.063780556","-70.733080556","Velocidad Viento (10 min)","m/s"
"2614500112","0103","2020-06-03T13:20:00.000","1.4","BELLAVISTA - JESUS MARIA - AUT","CALDAS","ANSERMA","CAUCA","5.275944444","-75.800166667","Velocidad Viento (10 min)","m/s"
"0015065040","0103","2020-06-03T14:20:00.000","2.4","LA PAULINA - AUT","LA GUAJIRA","FONSECA","CARIBE - GUAJIRA","10.89813889","-72.82847222","Velocidad Viento (10 min)","m/s"
"1509500118","0103","2020-06-03T01:00:00.000","2.5","GUACHACA - AUT","MAGDALENA","SANTA MARTA","CARIBE - GUAJIRA","11.21015","-73.84445","Velocidad Viento (10 min)","m/s"
"2702500107","0103","2020-06-03T15:30:00.000","1.6","ANGOSTURA - AUT","ANTIOQUIA","ANGOSTURA","NECHÍ","6.900555556","-75.326019444","Velocidad Viento (10 min)","m/s"
"2403500085","0103","2020-06-03T22:40:00.000","1","SUSA - AUT","SANTANDER","ONZAGA","SOGAMOSO","6.187794444","-72.835602778","Velocidad Viento (10 min)","m/s"
"0026065501","0103","2020-06-03T12:35:00.000","0.2980733","JAMUNDI  - AUT","VALLE DEL CAUCA","JAMUNDÍ","CAUCA","3.215580556","-76.68021944","Velocidad Viento (10 min)","m/s"
"0023025501","0103","2020-06-03T16:50:00.000","1.84642","MANZANARES  - AUT","CALDAS","MANZANARES","MEDIO MAGDALENA","5.163913889","-75.11740833","Velocidad Viento (10 min)","m/s"
"2401500080","0103","2020-06-03T21:20:00.000","2.9","PANELAS - AUT","BOYACÁ","MOTAVITA","SOGAMOSO","5.634380556","-73.386469444","Velocidad Viento (10 min)","m/s"
"0016015501","0103","2020-06-03T05:30:00.000","0.4","APTO CAMILO DAZA","NORTE DE SANTANDER","CÚCUTA","CATATUMBO","7.932","-72.511","Velocidad Viento (10 min)","m/s"
"0021165502","0103","2020-06-03T12:25:00.000","1.817368","VILLARICA  - AUT","TOLIMA","VILLARRICA","ALTO MAGDALENA","3.955641667","-74.59178611","Velocidad Viento (10 min)","m/s"
"0023195200","0103","2020-06-03T09:30:00.000","3.3","CACHIRI  - AUT","SANTANDER","SURATÁ","MEDIO MAGDALENA","7.473888889","-72.99111111","Velocidad Viento (10 min)","m/s"
"0026125506","0103","2020-06-03T02:25:00.000","0.0211263","EL AGRADO  - AUT","QUINDÍO","MONTENEGRO","CAUCA","4.518333333","-75.7925","Velocidad Viento (10 min)","m/s"
"0028025130","0103","2020-06-03T15:40:00.000","1.7","LA LOMA CARBONES - AUT","CESAR","EL PASO","CESAR","9.640611111","-73.52394444","Velocidad Viento (10 min)","m/s"
"0021205940","0103","2020-06-03T21:40:00.000","0.5","VILLA INES  - AUT","CUNDINAMARCA","FACATATIVÁ","ALTO MAGDALENA","4.834972222","-74.38397222","Velocidad Viento (10 min)","m/s"
"0023195090","0103","2020-06-03T11:40:00.000","1.5","VIVERO SURATA  - AUT","SANTANDER","SURATÁ","MEDIO MAGDALENA","7.365833333","-72.9875","Velocidad Viento (10 min)","m/s"
