fecha	velocidad
2018-10-29 15:00:00	0.79
2018-10-29 15:10:00	0.663
2018-10-29 15:20:00	0.816
2018-10-29 15:30:00	0.828
2018-10-29 15:40:00	1.044
2018-10-29 15:50:00	0.599
2018-10-29 16:20:00	1.127
2018-10-29 16:30:00	1.062
2018-10-29 16:40:00	0.924
2018-10-29 16:50:00	0.546
2018-10-29 17:20:00	1.105
2018-10-29 17:30:00	1.712
2018-10-29 17:40:00	1.774
2018-10-29 17:50:00	1.636
2018-10-29 18:20:00	0.519
2018-10-29 18:30:00	1.54
2018-10-29 18:40:00	1.535
2018-10-29 18:50:00	1.658
2018-10-29 19:00:00	0.821
2018-10-29 19:10:00	0.689
2018-10-29 19:50:00	0.474
2018-10-29 20:00:00	0.353
2018-10-29 20:10:00	0.333
2018-10-29 20:20:00	0.811
2018-10-29 20:30:00	0.228
2018-10-29 21:10:00	1.181
2018-10-29 21:20:00	0.931
2018-10-29 21:30:00	0.332
2018-10-29 21:40:00	0.59
2018-10-29 22:10:00	0.292
2018-10-29 22:20:00	0.431
2018-10-29 22:30:00	0.434
2018-10-29 22:40:00	0.768
2018-10-29 23:10:00	0.281
2018-10-29 23:20:00	0.563
2018-10-29 23:30:00	0.78
2018-10-29 23:40:00	0.409
2018-10-30 00:10:00	0.364
2018-10-30 00:20:00	0.24
2018-10-30 00:30:00	0.618
2018-10-30 00:40:00	0.405
2018-10-30 01:10:00	1.266
2018-10-30 01:20:00	0.899
2018-10-30 01:30:00	0.433
2018-10-30 01:40:00	0.278
2018-10-30 02:10:00	0.841
2018-10-30 02:20:00	1.115
2018-10-30 02:30:00	0.567
2018-10-30 02:40:00	0.425
2018-10-30 03:10:00	0.879
2018-10-30 03:20:00	0.857
2018-10-30 03:30:00	0.455
2018-10-30 03:40:00	0.748
2018-10-30 03:50:00	0.297
2018-10-30 04:00:00	0.288
2018-10-30 04:10:00	0.474
2018-10-30 04:20:00	0.295
2018-10-30 04:30:00	0.301
2018-10-30 04:40:00	0.809
2018-10-30 04:50:00	0.518
2018-10-30 05:00:00	0.41
2018-10-30 05:10:00	0.381
2018-10-30 05:20:00	0.529
2018-10-30 05:30:00	0.279
2018-10-30 05:40:00	0.821
2018-10-30 06:10:00	0.229
2018-10-30 06:20:00	0.462
2018-10-30 06:30:00	0.23
2018-10-30 06:40:00	0.311
2018-10-30 07:10:00	0.466
2018-10-30 07:20:00	0.278
2018-10-30 07:30:00	1.028
2018-10-30 07:40:00	0.992
2018-10-30 07:50:00	0.47
2018-10-30 08:00:00	0.565
2018-10-30 08:10:00	0.536
2018-10-30 08:20:00	0.321
2018-10-30 08:30:00	0.508
2018-10-30 08:40:00	0.603
2018-10-30 08:50:00	0.802
2018-10-30 09:00:00	0.639
2018-10-30 09:10:00	0.83
2018-10-30 09:20:00	0.939
2018-10-30 09:30:00	0.725
2018-10-30 09:40:00	1.325
2018-10-30 09:50:00	1.365
2018-10-30 10:00:00	0.984
2018-10-30 10:10:00	1.005
2018-10-30 10:20:00	1.338
2018-10-30 10:30:00	1.116
2018-10-30 10:40:00	1.47
2018-10-30 11:10:00	1.8
2018-10-30 11:20:00	2.173
2018-10-30 11:30:00	1.297
2018-10-30 11:40:00	1.835
2018-10-30 12:10:00	1.984
2018-10-30 12:20:00	1.974
2018-10-30 12:30:00	1.098
2018-10-30 12:40:00	1.333
2018-10-30 13:10:00	1.707
2018-10-30 13:20:00	1.894
2018-10-30 13:30:00	1.155
2018-10-30 13:40:00	1.42
2018-10-30 14:10:00	1.105
2018-10-30 14:20:00	1.186
2018-10-30 14:30:00	1.042
2018-10-30 14:40:00	1.132
2018-10-30 15:10:00	2.284
2018-10-30 15:20:00	3.597
2018-10-30 15:30:00	1.845
2018-10-30 15:40:00	1.562
2018-10-30 15:50:00	1.178
2018-10-30 16:00:00	0.877
2018-10-30 16:10:00	0.628
2018-10-30 16:20:00	0.256
2018-10-30 16:30:00	0.59
2018-10-30 16:40:00	0.542
2018-10-30 17:10:00	0.283
2018-10-30 17:20:00	0.336
2018-10-30 17:30:00	0.272
2018-10-30 17:40:00	0.72
2018-10-30 18:20:00	0.408
2018-10-30 18:30:00	0.23
2018-10-30 18:40:00	0.461
2018-10-30 18:50:00	0.51
2018-10-30 19:20:00	0.341
2018-10-30 19:30:00	0.454
2018-10-30 19:40:00	0.651
2018-10-30 19:50:00	0.994
2018-10-30 20:00:00	0.435
2018-10-30 20:10:00	0.234
2018-10-30 20:20:00	0.347
2018-10-30 20:30:00	0.503
2018-10-30 20:40:00	0.25
2018-10-30 20:50:00	0.63
2018-10-30 21:20:00	0.643
2018-10-30 21:30:00	0.454
2018-10-30 21:40:00	0.606
2018-10-30 21:50:00	0.457
2018-10-30 22:20:00	0.697
2018-10-30 22:30:00	0.553
2018-10-30 22:40:00	0.286
